id,name_formal,state,official_sk,district_sk,party,gov_type,city,district_id,valid_to,last_name,valid_from,first_name,links,chamber_id,num_officials,chamber_type
194445,California State Assembly,CA,80133,752646,Democrat,STATE,,56,2018-12-03 00:00:00+00,Garcia,2014-12-01 00:00:00+00,Eduardo,#,2446,1,LOWER
200154,California State Assembly,CA,32897,752660,Democrat,STATE,,63,2018-12-03 00:00:00+00,Rendon,2012-12-03 00:00:00+00,Anthony,#,2446,1,LOWER
106957,California Senate,CA,14303,752761,Democrat,STATE,,25,2016-12-05 00:00:00+00,Liu,2012-12-03 00:00:00+00,Carol,#,1403,1,UPPER
16723,Stockton City Council,CA,16723,2858,,LOCAL,Stockton,3,2010-12-31 00:00:00+00,Baranco Martin,0001-01-01 00:00:00+00,Leslie,#,4253,0,LOWER
184380,San Diego City Council,CA,134734,752537,Democrat,LOCAL,San Diego,3,2020-12-07 00:00:00+00,Ward,2016-12-05 00:00:00+00,Chris,#,4259,1,LOWER
192959,United States House of Representatives,CA,403,757199,Republican,NATIONAL,,45,2019-01-03 00:00:00+00,Walters,2015-01-06 00:00:00+00,Mimi,403,4507,1,LOWER
194472,California State Assembly,CA,32851,752664,Democrat,STATE,,46,2018-12-03 00:00:00+00,Nazarian,2012-12-03 00:00:00+00,Adrin,#,2446,1,LOWER
4334,Sacramento City Council,CA,4334,2677,,LOCAL,Sacramento,5,2010-11-01 00:00:00+00,Hammond,0001-01-01 00:00:00+00,Lauren,#,2630,1,LOWER
11362,California Senate,CA,11362,833,Democrat,STATE,,24,2010-12-06 00:00:00+00,Romero,0001-01-01 00:00:00+00,Gloria,#,1403,0,UPPER
92868,United States House of Representatives,CA,649,757214,Democrat,NATIONAL,,11,2015-01-06 00:00:00+00,Miller,2013-01-03 00:00:00+00,George,#,4507,1,LOWER
201351,Oxnard City Council,CA,13326,2202,,LOCAL,Oxnard,At Large,2018-12-01 00:00:00+00,Ramirez,2010-12-01 00:00:00+00,Carmen,#,4241,4,LOWER
106953,California Senate,CA,2533,752739,Republican,STATE,,21,2016-12-05 00:00:00+00,Runner,2015-03-19 00:00:00+00,Sharon,#,1403,1,UPPER
185290,Riverside City Council,CA,8154,1503,,LOCAL,Riverside,5,2019-07-09 00:00:00+00,Mac Arthur,2007-12-11 00:00:00+00,Chris,#,2717,1,LOWER
184378,San Diego City Council,CA,134738,752535,Democrat,LOCAL,San Diego,1,2020-12-07 00:00:00+00,Bry,2016-12-05 00:00:00+00,Barbara,#,4259,1,LOWER
200505,California State Assembly,CA,127208,752714,Democrat,STATE,,31,2018-12-03 00:00:00+00,Arambula,2016-04-14 00:00:00+00,Joaquin,#,2446,1,LOWER
195166,El Monte City Council,CA,168996,858424,,LOCAL,El Monte,At Large,2020-11-03 00:00:00+00,Martinez,2015-11-03 00:00:00+00,Victoria,#,3812,1,LOWER
111316,San Jose City Council,CA,5013,2695,,LOCAL,San Jose,6,2017-01-01 00:00:00+00,Oliverio,2007-01-01 00:00:00+00,Pierluigi,#,2638,1,LOWER
194458,California State Assembly,CA,14270,752708,Democrat,STATE,,27,2018-12-03 00:00:00+00,Kalra,2016-12-05 00:00:00+00,Ash,132004,2446,1,LOWER
194586,Oceanside City Council,CA,187104,858368,,LOCAL,Oceanside,At Large,2020-12-02 00:00:00+00,Weiss,2018-01-01 00:00:00+00,Peter,#,3424,1,LOWER
24633,California Senate,CA,12012,724,Democrat,STATE,,32,2012-11-12 00:00:00+00,Negrete McLeod,2010-12-06 00:00:00+00,Gloria,92872,1403,0,UPPER
