city,id,last_name,official_sk,district_id,district_sk,name_formal,party,num_officials,first_name,chamber_id,gov_type,valid_from,links,chamber_type,state,valid_to
,196133,Bramnick,14237,000000000021,10847,New Jersey General Assembly,Republican,2,Jon,4411,STATE,2012-01-10 00:00:00+00,#,LOWER,NJ,2020-01-14 00:00:00+00
,27242,VACANT,6957,000000000010,1483,United States House of Representatives,,0,VACANT,4507,NATIONAL,2012-03-06 00:00:00+00,#,LOWER,NJ,2012-11-15 00:00:00+00
,196182,Karabinchak,129183,000000000018,10844,New Jersey General Assembly,Democrat,2,Robert,4411,STATE,2016-05-27 00:00:00+00,#,LOWER,NJ,2020-01-14 00:00:00+00
,194117,Maher Muoio,109966,000000000015,10841,New Jersey General Assembly,Democrat,2,Elizabeth,4411,STATE,2015-02-05 00:00:00+00,#,LOWER,NJ,2018-01-15 00:00:00+00
,12418,Fisher,12418,000000000003,10829,New Jersey General Assembly,Democrat,2,Douglas,4411,STATE,2010-01-12 00:00:00+00,#,LOWER,NJ,2010-01-12 00:00:00+00
,129184,VACANT,128548,000000000018,10844,New Jersey General Assembly,,2,VACANT,4411,STATE,2016-05-10 00:00:00+00,#,LOWER,NJ,2016-05-27 00:00:00+00
,198738,Eustace,16259,000000000038,10864,New Jersey General Assembly,Democrat,2,Tim,4411,STATE,2012-01-10 00:00:00+00,#,LOWER,NJ,2018-04-12 00:00:00+00
,200564,Jones,121693,000000000005,10831,New Jersey General Assembly,Democrat,2,Patricia,4411,STATE,2016-01-12 00:00:00+00,#,LOWER,NJ,2020-01-14 00:00:00+00
,92914,Runyan,2821,000000000003,757331,United States House of Representatives,Republican,1,Jon,4507,NATIONAL,2013-01-03 00:00:00+00,#,LOWER,NJ,2015-01-06 00:00:00+00
,12194,Greenstein,12194,000000000014,10840,New Jersey General Assembly,Democrat,2,Linda,4411,STATE,2008-01-01 00:00:00+00,#,LOWER,NJ,2010-12-06 00:00:00+00
,196289,Quijano,1094,000000000020,10846,New Jersey General Assembly,Democrat,2,Annette,4411,STATE,2012-01-10 00:00:00+00,#,LOWER,NJ,2020-01-14 00:00:00+00
,196072,O'Scanlon,407,000000000013,4629,New Jersey State Senate,Republican,1,Declan,2363,STATE,2018-01-09 00:00:00+00,171116,UPPER,NJ,2022-01-11 00:00:00+00
,186564,Smith,5000,000000000004,757332,United States House of Representatives,Republican,1,Christopher,4507,NATIONAL,2013-01-03 00:00:00+00,#,LOWER,NJ,2019-01-03 00:00:00+00
,196080,Bateman,8326,000000000016,4632,New Jersey State Senate,Republican,1,Christopher,2363,STATE,2012-01-10 00:00:00+00,#,UPPER,NJ,2022-01-11 00:00:00+00
Edison,192101,Sendelsky,173885,At Large,859203,Edison Township Council,,1,Leonard,4341,LOCAL,2015-12-31 00:00:00+00,#,LOWER,NJ,2019-12-31 00:00:00+00
,168058,Russo,4178,000000000040,10866,New Jersey General Assembly,Republican,2,David,4411,STATE,2012-01-10 00:00:00+00,#,LOWER,NJ,2018-01-09 00:00:00+00
Jersey City,5556,Lipski,5556,C,2314,Jersey City City Council,,1,Steven,4225,LOCAL,2005-07-01 00:00:00+00,#,LOWER,NJ,2009-06-30 00:00:00+00
Atlantic City,192077,Kurtz,123037,000000000006,1580,Atlantic City Council,Republican,1,Jesse,1620,LOCAL,2016-01-01 00:00:00+00,#,LOWER,NJ,2020-01-01 00:00:00+00
,196140,Chiaravalloti,121764,000000000031,10857,New Jersey General Assembly,Democrat,2,Nicholas,4411,STATE,2016-01-12 00:00:00+00,#,LOWER,NJ,2020-01-14 00:00:00+00
,196131,Barclay,121694,000000000005,10831,New Jersey General Assembly,Democrat,2,Arthur,4411,STATE,2016-01-12 00:00:00+00,#,LOWER,NJ,2020-01-14 00:00:00+00
,121721,Casagrande,4437,000000000011,10837,New Jersey General Assembly,Republican,2,Caroline ,4411,STATE,2012-01-10 00:00:00+00,#,LOWER,NJ,2016-01-12 00:00:00+00
,196092,Rice,10914,000000000028,4646,New Jersey State Senate,Democrat,1,Ronald,2363,STATE,2012-01-10 00:00:00+00,#,UPPER,NJ,2022-01-11 00:00:00+00
,3097,Cohen,3097,000000000020,10846,New Jersey General Assembly,Democrat,2,Neil,4411,STATE,0001-01-01 00:00:00+00,#,LOWER,NJ,2010-01-12 00:00:00+00
Jersey City,178667,Gajewski,69702,A,1963,Jersey City City Council,,1,Frank,4225,LOCAL,2013-07-01 00:00:00+00,#,LOWER,NJ,2018-01-01 00:00:00+00
,180287,VACANT,180286,000000000002,4616,New Jersey State Senate,,1,VACANT,2363,STATE,2017-08-22 00:00:00+00,#,UPPER,NJ,2017-10-05 00:00:00+00
,21172,Andrews,12890,000000000001,1499,United States House of Representatives,Democrat,0,Robert,4507,NATIONAL,2011-01-03 00:00:00+00,#,LOWER,NJ,2013-01-03 00:00:00+00
,196071,Thompson,12528,000000000012,4627,New Jersey State Senate,Republican,1,Samuel,2363,STATE,2012-01-10 00:00:00+00,#,UPPER,NJ,2022-01-11 00:00:00+00
Jersey City,178640,VACANT,178640,F,2347,Jersey City City Council,,1,VACANT,4225,LOCAL,2016-12-31 00:00:00+00,#,LOWER,NJ,2017-01-21 00:00:00+00
Jersey City,141700,Hallanan,129086,B,2306,Jersey City City Council,,1,John,4225,LOCAL,2016-06-02 00:00:00+00,#,LOWER,NJ,2016-11-21 00:00:00+00
,196081,Smith,12869,000000000017,4633,New Jersey State Senate,Democrat,1,Bob,2363,STATE,2012-01-10 00:00:00+00,#,UPPER,NJ,2022-01-11 00:00:00+00
,196142,Conaway,17729,000000000007,10833,New Jersey General Assembly,Democrat,2,Herb,4411,STATE,2012-01-10 00:00:00+00,#,LOWER,NJ,2020-01-14 00:00:00+00
,196106,Cardinale,7281,000000000039,4658,New Jersey State Senate,Republican,1,Gerald,2363,STATE,2012-01-10 00:00:00+00,#,UPPER,NJ,2022-01-11 00:00:00+00
,196141,Clifton,17117,000000000012,10838,New Jersey General Assembly,Republican,2,Robert,4411,STATE,2012-01-10 00:00:00+00,#,LOWER,NJ,2020-01-14 00:00:00+00
,90280,Albano,9530,000000000001,10827,New Jersey General Assembly,Democrat,2,Nelson,4411,STATE,2012-01-10 00:00:00+00,#,LOWER,NJ,2014-01-14 00:00:00+00
,196296,Space,63043,000000000024,10850,New Jersey General Assembly,Republican,2,Parker,4411,STATE,2013-02-23 00:00:00+00,#,LOWER,NJ,2020-01-14 00:00:00+00
,121697,Wilson,4954,000000000005,10831,New Jersey General Assembly,Democrat,2,Gilbert,4411,STATE,2012-01-10 00:00:00+00,#,LOWER,NJ,2016-01-12 00:00:00+00
,196176,Jimenez,15396,000000000032,10858,New Jersey General Assembly,Democrat,2,Angelica,4411,STATE,2012-01-10 00:00:00+00,#,LOWER,NJ,2020-01-14 00:00:00+00
,6203,Ferguson,6203,000000000007,1485,United States House of Representatives,Republican,0,Michael,4507,NATIONAL,2007-01-04 00:00:00+00,#,LOWER,NJ,2009-01-03 00:00:00+00
,196300,Taliaferro,121688,000000000003,10829,New Jersey General Assembly,Democrat,2,Adam,4411,STATE,2015-01-14 00:00:00+00,#,LOWER,NJ,2020-01-14 00:00:00+00
Edison,192102,Lombardi,173880,At Large,859203,Edison Township Council,,1,Michael,4341,LOCAL,2015-12-31 00:00:00+00,#,LOWER,NJ,2019-12-31 00:00:00+00
Newark,200991,Ramos,173940,North,858897,Newark City Council,,1,Anibal,4564,LOCAL,2014-07-01 00:00:00+00,#,LOWER,NJ,2022-07-01 00:00:00+00
,129182,VACANT,127722,000000000018,4634,New Jersey State Senate,,1,VACANT,2363,STATE,2016-04-25 00:00:00+00,#,UPPER,NJ,2016-05-10 00:00:00+00
,171116,O'Scanlon,407,000000000013,10839,New Jersey General Assembly,Republican,2,Declan,4411,STATE,2012-01-10 00:00:00+00,196072,LOWER,NJ,2018-01-09 00:00:00+00
Paterson,176929,Morris,174022,At Large,858475,Paterson City Council,,1,Kenneth,4618,LOCAL,2012-03-05 00:00:00+00,#,LOWER,NJ,2020-07-01 00:00:00+00
,12069,Van Pelt,12069,000000000009,10835,New Jersey General Assembly,Republican,2,Daniel,4411,STATE,0001-01-01 00:00:00+00,#,LOWER,NJ,2009-07-31 00:00:00+00
,196194,Mosquera,14176,000000000004,10830,New Jersey General Assembly,Democrat,2,Gabriela,4411,STATE,2012-03-05 00:00:00+00,#,LOWER,NJ,2020-01-14 00:00:00+00
,8680,Scalera,8680,000000000036,10862,New Jersey General Assembly,Democrat,2,Frederick,4411,STATE,2010-01-12 00:00:00+00,#,LOWER,NJ,2010-11-29 00:00:00+00
