last_name,links,first_name,valid_to,district_id,chamber_type,city,valid_from,name_formal,party,id,district_sk,state,chamber_id,gov_type,num_officials,official_sk
Zimmerman,#,W.B.,2017-06-02 00:00:00+00,3,LOWER,Fort Worth,2013-06-03 00:00:00+00,Fort Worth City Council,,160129,758022,TX,4217,LOCAL,1,14460
Sutter,#,John,2018-06-01 00:00:00+00,At Large,LOWER,Carrollton,2015-05-01 00:00:00+00,Carrollton City Council,,194206,858944,TX,3667,LOCAL,1,171601
Scarth,#,Danny,2015-06-02 00:00:00+00,4,LOWER,Fort Worth,2013-06-03 00:00:00+00,Fort Worth City Council,,109052,758027,TX,4217,LOCAL,1,16129
Voelker,#,Paul,2019-05-31 00:00:00+00,At Large,LOWER,Richardson,2015-05-31 00:00:00+00,Richardson City Council,,177044,859004,TX,4606,LOCAL,1,173788
Straus,#,Joe,2013-01-08 00:00:00+00,000000000121,LOWER,,2011-01-04 00:00:00+00,Texas House of Representatives,Republican,5236,5865,TX,2661,STATE,0,5236
Poe,#,Ted,2013-01-03 00:00:00+00,000000000002,LOWER,,2011-01-03 00:00:00+00,United States House of Representatives,Republican,1646,1873,TX,4507,NATIONAL,0,1646
Hinojosa,#,Rubén,2013-01-03 00:00:00+00,000000000015,LOWER,,2011-01-03 00:00:00+00,United States House of Representatives,Democrat,10101,1910,TX,4507,NATIONAL,0,10101
Barnett Dodson,#,Lori,2020-05-22 00:00:00+00,At Large,LOWER,Garland,2018-05-15 00:00:00+00,Garland City Council,,200294,859168,TX,3096,LOCAL,1,200076
Straus,#,Joe,2015-01-05 00:00:00+00,000000000121,LOWER,,2013-01-08 00:00:00+00,Texas House of Representatives,Republican,56940,754770,TX,2661,STATE,0,5236
Miller,#,Doug,2015-01-05 00:00:00+00,000000000073,LOWER,,2013-01-08 00:00:00+00,Texas House of Representatives,Republican,56788,754722,TX,2661,STATE,0,13240
West,#,Eric,2019-11-19 00:00:00+00,1,LOWER,Wichita Falls,2016-11-22 00:00:00+00,Wichita Falls City Council,,184817,858788,TX,3361,LOCAL,1,173701
Jasso,#,Delia,2013-06-03 00:00:00+00,000000000001,LOWER,Dallas,2011-06-01 00:00:00+00,Dallas City Council,,53094,379,TX,4287,LOCAL,0,13143
Green,#,Larry,2018-03-06 00:00:00+00,K,LOWER,Houston,2012-01-02 00:00:00+00,Houston City Council,,198676,2999,TX,2814,LOCAL,1,13721
Pickett,#,Joe,2015-01-05 00:00:00+00,000000000079,LOWER,,2013-01-08 00:00:00+00,Texas House of Representatives,Democrat,56799,754728,TX,2661,STATE,0,5603
Le,#,Steve,2020-01-02 00:00:00+00,F,LOWER,Houston,2016-01-02 00:00:00+00,Houston City Council,,181476,2985,TX,2814,LOCAL,1,122988
Cortez,#,Philip,2019-01-08 00:00:00+00,117,LOWER,,2017-01-10 00:00:00+00,Texas House of Representatives,Democrat,200310,760071,TX,2661,STATE,1,44263
Creighton,200256,Brandon,2013-01-08 00:00:00+00,000000000016,LOWER,,2011-01-04 00:00:00+00,Texas House of Representatives,Republican,15878,5832,TX,2661,STATE,0,15878
Chavez,#,Norma,2011-01-01 00:00:00+00,000000000076,LOWER,,2009-01-01 00:00:00+00,Texas House of Representatives,Democrat,2397,5885,TX,2661,STATE,0,2397
Grady,#,Rick,2019-05-07 00:00:00+00,At Large,LOWER,Plano,2015-05-02 00:00:00+00,Plano City Council,,200413,858986,TX,3792,LOCAL,1,173688
Troyer,#,Bob,2020-05-02 00:00:00+00,At Large,LOWER,Lewisville,2017-05-06 00:00:00+00,Lewisville City Council,,174620,858787,TX,4615,LOCAL,1,172922
Frullo,#,John,2019-01-08 00:00:00+00,84,LOWER,,2015-01-05 00:00:00+00,Texas House of Representatives,Republican,194272,760038,TX,2661,STATE,1,6670
Harvell,#,Linda,2020-11-12 00:00:00+00,At Large,LOWER,College Station,2016-11-08 00:00:00+00,College Station City Council,,199579,858565,TX,3578,LOCAL,1,171728
"Holguin, Jr.",#,Eddie,2014-08-05 00:00:00+00,6,LOWER,El Paso,2013-06-25 00:00:00+00,El Paso City Council,,75161,758049,TX,1376,LOCAL,1,1063
Cibrian,#,Diane,0001-01-02 00:00:00+00,000000000008,LOWER,San Antonio,0001-01-01 00:00:00+00,San Antonio City Council,,6054,1892,TX,1560,LOCAL,0,6054
Veasey,3079,Marc,2019-01-03 00:00:00+00,000000000033,LOWER,,2013-01-03 00:00:00+00,United States House of Representatives,Democrat,162482,757486,TX,4507,NATIONAL,1,3079
Phelan,#,Dade,2019-01-08 00:00:00+00,21,LOWER,,2015-01-05 00:00:00+00,Texas House of Representatives,Republican,199672,759975,TX,2661,STATE,1,82305
Dukes,#,Dawnna,2015-01-05 00:00:00+00,000000000046,LOWER,,2013-01-08 00:00:00+00,Texas House of Representatives,Democrat,56662,754695,TX,2661,STATE,0,11610
